0,0
0,0
0.0026401,0.19442
0.0052801,0.38884
0.0079202,0.58326
0.01056,0.77769
0.0132,0.97211
0.01872,1.1684
0.02424,1.3648
0.02976,1.5611
0.035279,1.7574
0.040799,1.9537
0.048291,2.1491
0.055784,2.3445
0.063276,2.5399
0.070769,2.7354
0.078261,2.9308
0.088019,3.1271
0.097777,3.3234
0.10753,3.5198
0.11729,3.7161
0.12705,3.9124
0.13933,4.1087
0.15161,4.3049
0.16389,4.5012
0.17617,4.6974
0.18845,4.8936
0.20414,5.0889
0.21983,5.2842
0.23552,5.4795
0.25121,5.6748
0.2669,5.8701
0.28503,6.0621
0.30315,6.2541
0.32128,6.446
0.3394,6.638
0.35753,6.83
0.37696,7.0213
0.39639,7.2126
0.41583,7.4039
0.43526,7.5952
0.45469,7.7865
0.47494,7.9767
0.4952,8.1668
0.51545,8.357
0.5357,8.5471
0.55596,8.7373
0.57707,8.9252
0.59818,9.1132
0.61929,9.3011
0.6404,9.489
0.66151,9.677
0.68271,9.8614
0.70391,10.046
0.72512,10.23
0.74632,10.415
0.76753,10.599
0.78833,10.78
0.80913,10.961
0.82994,11.142
0.85074,11.323
0.87155,11.504
0.89174,11.681
0.91194,11.859
0.93213,12.037
0.95233,12.214
0.97253,12.392
0.99197,12.567
1.0114,12.742
1.0309,12.917
1.0503,13.093
1.0697,13.268
1.0885,13.442
1.1072,13.616
1.126,13.789
1.1447,13.963
1.1634,14.137
1.1813,14.311
1.1992,14.485
1.2171,14.659
1.235,14.833
1.2529,15.007
1.2696,15.182
1.2863,15.357
1.303,15.532
1.3197,15.708
1.3364,15.883
1.3514,16.059
1.3664,16.236
1.3814,16.412
1.3964,16.589
1.4113,16.765
1.4244,16.943
1.4374,17.12
1.4505,17.298
1.4635,17.475
1.4765,17.653
1.4878,17.831
1.4991,18.009
1.5104,18.187
1.5217,18.366
1.533,18.544
1.543,18.721
1.553,18.899
1.563,19.076
1.573,19.253
1.5831,19.431
1.5923,19.607
1.6015,19.782
1.6107,19.958
1.6199,20.134
1.6291,20.31
1.638,20.484
1.6469,20.658
1.6557,20.832
1.6646,21.006
1.6735,21.18
1.6825,21.353
1.6914,21.525
1.7004,21.697
1.7094,21.869
1.7184,22.042
1.728,22.211
1.7375,22.381
1.747,22.551
1.7566,22.721
1.7661,22.891
1.7767,23.059
1.7873,23.226
1.7979,23.393
1.8084,23.561
1.819,23.728
1.8305,23.894
1.842,24.06
1.8535,24.226
1.865,24.392
1.8765,24.558
1.8883,24.723
1.9002,24.888
1.912,25.054
1.9238,25.219
1.9356,25.384
1.9474,25.549
1.9593,25.715
1.9711,25.88
1.9829,26.045
1.9947,26.21
2.0065,26.375
