,x,y
0,0.0,0.0
1,0.29980001117587,5.0000000436557605e-05
2,0.5996000215768796,0.0004999992975383068
3,0.899800031179187,0.0013497729672177232
4,1.2004000379562343,0.002599309493857436
5,1.501400039130445,0.0042488214633835016
6,1.8028000346660562,0.006298308744665701
7,2.1046000244796215,0.008747771313862177
8,2.4068000084996153,0.011597209123289213
9,2.7093999866902747,0.014846622041816592
10,3.0123999589919954,0.018496009926393164
11,3.3157999253690145,0.02254537269357243
12,3.6195998858094107,0.02699471028374974
13,3.923799840289343,0.031844022601557664
14,4.2283997887849685,0.037093309527786916
15,4.533399731296288,0.042742570919386345
16,4.838799667811379,0.048791806585621086
17,5.144599598222956,0.05524101647880743
18,5.450799522423728,0.06209020050357794
19,5.757399440389855,0.06933935840959311
20,6.064399352073652,0.07698849000611808
21,6.37179925735591,0.08503759512625984
22,6.679599156129341,0.09348667379386025
23,6.987799048358182,0.10233572599699838
24,7.296398934018591,0.11158475155686029
25,7.6053988130509635,0.12123375031847392
26,7.914798685431458,0.13128272211494624
27,8.22459855111239,0.14173166713701213
28,8.534798410057997,0.1525805855515646
29,8.845398262256358,0.16382947715594784
30,9.15639810765979,0.17547834174750607
31,9.46779794623253,0.1875271791712672
32,9.779597777950736,0.19997598966564983
33,10.091797602802487,0.21282477345715162
34,10.404397420740098,0.22607353033119582
35,10.717397231680124,0.239722260025522
36,11.030797035539118,0.25377096225402784
37,11.344596832293238,0.2682196371120808
38,11.658796621918643,0.2830682848023367
39,11.973396404308044,0.29831690519366527
40,12.288396179413757,0.3139654982622247
41,12.603795947223862,0.33001406422259166
42,12.919595707666833,0.3464626036231289
43,13.235795460659224,0.3633111169764364
44,13.552395206177192,0.3805596045686164
45,13.869394944149212,0.39820806663808755
46,14.186794674491837,0.41625650343518933
47,14.504594397216989,0.4347049154248379
48,14.8227941122293,0.45355330298850305
49,15.141393819433402,0.47280166635268245
50,15.460393518805454,0.4924500057677156
51,15.77979321028585,0.5124983215197048
52,16.09959289381499,0.5329466140020406
53,16.419792569333264,0.55379488356043
54,16.740392236864515,0.5750431304094499
55,17.061391896432585,0.5966913547398348
56,17.382791548013632,0.6187395567423198
57,17.7045911916315,0.6411877366672445
58,18.026790827262346,0.6640358947172644
59,18.349390454882325,0.6872840309758262
60,18.672390074515285,0.7109321455621392
61,18.995789686196982,0.7349802386550174
62,19.319589289987025,0.7594283104451954
63,19.64378888596886,0.7842763610757246
64,19.96838847419017,0.809524390701577
65,20.29338805468672,0.8351723995254083
66,20.618787627541952,0.8612203877260326
67,20.944587192803553,0.8876683554465009
68,21.270786750519207,0.91451630290139
69,21.597386300748518,0.9417642303410393
70,21.92438584355109,0.9694121380396303
71,22.25178537899845,0.9974600262713443
72,22.57958490716212,1.0259078952030745
73,22.907784428137468,1.0547557450017135
74,23.236383941996024,1.0840035758937594
75,23.56538344877355,1.113651388165314
76,23.894782948553488,1.143699182090559
77,24.224582441407367,1.1741469578840713
78,24.55478192738287,1.2049947157723482
79,24.88538140655152,1.2362424559342036
80,25.21638087900869,1.2678901785484515
81,25.54778034484974,1.299937883829669
82,25.879579804134284,1.332385572016274
83,26.211779256921922,1.3652332433824486
84,26.544378703248416,1.3984808981189272
85,26.87737814317337,1.4321285364283656
86,27.210777576815996,1.4661761585253408
87,27.544577004212055,1.500623764660192
88,27.87877642539731,1.535471355071338
89,28.213375840467126,1.5707189299375925
90,28.548375249493034,1.6063664894377696
91,28.883774652534633,1.6424140337864461
92,29.21957404963961,1.6788615633531707
93,29.555773440819888,1.7157090784478874
94,29.892372826135066,1.7529565793090152
95,30.229372205668593,1.7906040661630513
96,30.56677157942047,1.8286515392245726
