本车_y,本车_x,目标车道前车_y,目标车道前车_x,目标车道后车_y,目标车道后车_x,原车道前车_y,原车道前车_x,原车道后车_y,原车道后车_x
0.0,0.0,2.8384524594647544,59.30828432803884,3.2755201697329905,-52.38803151670683,-0.1996869716058427,17.410364832919754,-0.8896345702552235,-18.295711608573924
0.011713,0.22507,2.838800671319244,59.5539635513197,3.2740156235242965,-52.143767820947595,-0.1998686727945163,17.62598790545013,-0.8887668814529616,-18.11496493769389
0.023427,0.45015,2.839148883173733,59.79964277460055,3.2725110773156025,-51.89950412518834,-0.2000503739831899,17.84161097798051,-0.8878991926506995,-17.934218266813858
0.03514,0.6752199999999999,2.8394970950282232,60.0453219978814,3.2710065311069076,-51.655240429429114,-0.2002320751718635,18.057234050510885,-0.8870315038484374,-17.75347159593382
0.046854,0.9002899999999999,2.8398453068827125,60.29100122116226,3.269501984898214,-51.41097673366987,-0.20041377636053712,18.272857123041263,-0.8861638150461755,-17.572724925053787
0.058566999999999994,1.1254,2.840193518737202,60.53668044444311,3.2679974386895196,-51.166713037910625,-0.2005954775492107,18.48848019557164,-0.8852961262439134,-17.39197825417375
0.078307,1.3559,2.8406372476102555,60.782859496606676,3.266423893470596,-50.92256084170103,-0.2005357072182907,18.70241679615449,-0.8842941099581727,-17.207943327672275
0.09804600000000001,1.5864,2.841080976483309,61.02903854877023,3.2648503482516715,-50.678408645491416,-0.20047593688737067,18.91635339673734,-0.8832920936724318,-17.023908401170797
0.11779,1.8169,2.8415247053563624,61.2752176009338,3.2632768030327477,-50.43425644928182,-0.20041616655645064,19.13028999732019,-0.882290077386691,-16.83987347466932
0.13752999999999999,2.0475,2.841968434229416,61.52139665309736,3.261703257813824,-50.190104253072214,-0.20035639622553064,19.344226597903038,-0.8812880611009501,-16.655838548167843
0.15725999999999998,2.278,2.8424121631024697,61.767575705260924,3.2601297125948996,-49.94595205686261,-0.2002966258946106,19.558163198485886,-0.8802860448152092,-16.471803621666368
0.17937,2.5082,2.842858747912003,62.013777660343976,3.2584310678892114,-49.701758161022696,-0.20002836250505604,19.77077459219876,-0.879171429942737,-16.28546077906592
0.20147,2.7385,2.8433053327215365,62.25997961542703,3.2567324231835233,-49.45756426518278,-0.1997600991155014,19.983385985911628,-0.8780568150702646,-16.099117936465472
0.22358000000000003,2.9688,2.843751917531069,62.50618157051008,3.2550337784778343,-49.21337036934287,-0.19949183572594686,20.195997379624497,-0.8769422001977922,-15.912775093865024
0.24568,3.199,2.844198502340603,62.75238352559313,3.2533351337721466,-48.969176473502955,-0.19922357233639226,20.40860877333737,-0.87582758532532,-15.726432251264578
0.26779000000000003,3.4293,2.844645087150136,62.998585480676184,3.251636489066458,-48.72498257766304,-0.19895530894683766,20.62122016705024,-0.8747129704528476,-15.54008940866413
0.28839000000000004,3.6612,2.84510542068543,63.244653350156035,3.2498598996655117,-48.48094403953144,-0.19852502559981922,20.83306293379501,-0.8735369045040039,-15.352806527858775
0.309,3.8932,2.8455657542207238,63.49072121963589,3.248083310264565,-48.23690550139983,-0.19809474225280077,21.04490570053978,-0.87236083855516,-15.16552364705342
0.32961,4.1252,2.8460260877560177,63.73678908911573,3.2463067208636187,-47.99286696326823,-0.19766445890578233,21.256748467284545,-0.8711847726063162,-14.978240766248064
0.35022,4.3571,2.8464864212913117,63.98285695859559,3.2445301314626724,-47.74882842513662,-0.19723417555876388,21.468591234029315,-0.8700087066574725,-14.790957885442708
0.37082,4.5891,2.8469467548266056,64.22892482807544,3.2427535420617257,-47.50478988700502,-0.19680389221174543,21.680434000774085,-0.8688326407086286,-14.603675004637353
0.39008000000000004,4.8254,2.8474045280319795,64.47454382737328,3.2409532568645214,-47.261162512462704,-0.19624730889531392,21.891649014948847,-0.8676396036938304,-14.41650050251924
0.40934,5.0617,2.8478623012373525,64.72016282667113,3.2391529716673166,-47.01753513792039,-0.1956907255788824,22.102864029123612,-0.8664465666790321,-14.229326000401123
0.4286,5.2979,2.848320074442727,64.96578182596897,3.237352686470112,-46.77390776337808,-0.1951341422624509,22.314079043298374,-0.8652535296642339,-14.042151498283012
0.44785,5.5342,2.8487778476481003,65.21140082526682,3.2355524012729076,-46.53028038883576,-0.19457755894601939,22.52529405747314,-0.8640604926494355,-13.854976996164897
0.46711,5.7705,2.8492356208534737,65.45701982456467,3.233752116075703,-46.28665301429345,-0.19402097562958787,22.7365090716479,-0.8628674556346372,-13.667802494046782
0.48562,6.0128,2.849522958065078,65.70186727271829,3.231952145249648,-46.04354397263309,-0.19338322926367724,22.947352973282058,-0.8617075963829006,-13.482557043725945
0.50412,6.2552,2.849810295276682,65.94671472087191,3.2301521744235924,-45.80043493097272,-0.1927454828977666,23.15819687491621,-0.8605477371311641,-13.297311593405107
0.52263,6.4976,2.8500976324882865,66.19156216902553,3.228352203597538,-45.55732588931236,-0.19210773653185598,23.369040776550367,-0.8593878778794274,-13.11206614308427
0.54113,6.7399,2.8503849696998906,66.43640961717915,3.226552232771483,-45.31421684765199,-0.19146999016594535,23.57988467818452,-0.8582280186276908,-12.926820692763432
0.5596399999999999,6.9823,2.8506723069114948,66.68125706533277,3.2247522619454276,-45.07110780599163,-0.19083224380003472,23.790728579818676,-0.8570681593759542,-12.741575242442593
0.57752,7.2285,2.8506369059621215,66.92520073523752,3.222976996101102,-44.82864693063232,-0.1901601036968117,24.001804384572267,-0.8559860281783096,-12.559682455672123
0.5954,7.4747,2.8506015050127482,67.16914440514225,3.2212017302567766,-44.586186055273004,-0.18948796359358866,24.21288018932586,-0.8549038969806649,-12.377789668901652
