d_pre_goal,d_tail_goal,d_pre_raw,interval_pre,interval_tail,v_x,v_y,delta_v_goal,delta_v_raw,delta_a_x,delta_a_y,a_x,a_y
46.03182840056825,25.023108123644633,18.395469533803734,5.267456341771975,3.392351767947048,13.412472495614836,2.2643127361462234,1.8251328762037389,2.72666402996542,434.0575037504735,4859.909343917224,8.68115007500947,97.19818687834447
45.995325743044134,25.1109808100354,18.340936253204447,5.231164306866788,3.3519111049182015,13.412472495615901,2.2643127361504867,1.8251328762058705,2.726664029964354,434.057503753138,4859.909343927881,8.68115007506276,97.19818687855764
45.95882308552004,25.19885349642621,18.286402972605117,5.194872271961685,3.3114704418893552,13.412472495615901,2.2643127361504867,1.8251328762048047,2.7266640299664857,434.057503753138,4859.909343927881,8.68115007506276,97.19818687855764
45.922341699364054,25.28777576829812,18.236333675273045,5.161343070821232,3.273705782443585,13.41150898561665,2.1542003271804333,1.824069307799192,2.503464866603622,431.6487287550075,4584.628321502748,8.63297457510015,91.69256643005497
45.88586031320807,25.376698040170005,18.18626437794093,5.127813869680864,3.2359411229979003,13.41150898561665,2.1542003271804333,1.824069307799192,2.5034648666057535,431.6487287550075,4584.628321502748,8.63297457510015,91.69256643005497
45.849378927052044,25.465620312041914,18.136195080608857,5.094284668540496,3.1981764635522154,13.41150898561665,2.15420032717617,1.8240693078013237,2.503464866603622,431.6487287550075,4584.62832149209,8.63297457510015,91.6925664298418
45.81289754089608,25.5545425839138,18.086125783276763,5.060755467400128,3.1604118041064453,13.41150898561665,2.1542003271804333,1.8240693077981263,2.5034648666046877,431.6487287550075,4584.628321502748,8.63297457510015,91.69256643005497
45.776416154740076,25.64346485578571,18.03605648594467,5.02722626625976,3.122647144660675,13.41150898561665,2.1542003271804333,1.8240693078002579,2.5034648666046877,431.6487287550075,4584.628321502748,8.63297457510015,91.69256643005497
45.73886087523532,25.732600144801296,17.991713541870666,4.998184396176271,3.0888564187701206,13.39512298195551,1.9483871182472967,1.8777639752379116,2.217147203700165,390.6837196021584,4070.095299169907,7.813674392043168,81.40190598339814
45.70130559573052,25.821735433816883,17.947370597796663,4.969142526092867,3.055065692879481,13.39512298195551,1.9483871182472967,1.8777639752400432,2.217147203700165,390.6837196021584,4070.095299169907,7.813674392043168,81.40190598339814
45.6637503162258,25.91087072283247,17.90302765372266,4.940100656009548,3.0212749669890115,13.395122981954444,1.9483871182430335,1.87776397523578,2.217147203700165,390.6837195994939,4070.0952991592485,7.813674391989878,81.40190598318497
45.626195036721,26.000006011848058,17.858684709648635,4.911058785926059,2.987484241098457,13.395122981956575,1.9483871182472967,1.8777639752400432,2.2171472037012308,390.68371960482295,4070.095299169907,7.813674392096459,81.40190598339814
45.58863975721624,26.089141300863645,17.814341765574653,4.882016915842655,2.953693515207817,13.395122981954444,1.9483871182472967,1.8777639752379116,2.217147203699099,390.6837195994939,4070.095299169907,7.813674391989878,81.40190598339814
45.55061932813927,26.17757595470964,17.774963235531764,4.858812696648528,2.924520498309107,13.361779575356536,1.6709466315901977,1.901021453848628,1.9689265021444413,307.32520310472466,3376.494082527159,6.146504062094493,67.52988165054319
45.51259889906234,26.26601060855561,17.735584705488918,4.835608477454315,2.8953474814103117,13.361779575354404,1.6709466315901977,1.9010214538464965,1.9689265021423097,307.3252030993956,3376.494082527159,6.146504061987912,67.52988165054319
45.474578469985346,26.354445262401605,17.696206175446008,4.812404258260187,2.8661744645116016,13.361779575356536,1.6709466315901977,1.901021453849694,1.9689265021455071,307.32520310472466,3376.494082527159,6.146504062094493,67.52988165054319
45.436558040908416,26.442879916247577,17.656827645403162,4.789200039065975,2.8370014476128915,13.36177957535547,1.6709466315901977,1.9010214538464965,1.9689265021423097,307.32520310206013,3376.494082527159,6.146504062041203,67.52988165054319
45.39853761183144,26.53131457009357,17.617449115360273,4.765995819871847,2.807828430714096,13.36177957535547,1.6709466315901977,1.901021453848628,1.9689265021444413,307.32520310206013,3376.494082527159,6.146504062041203,67.52988165054319
45.360806596119254,26.618377172450415,17.581474437423225,4.751014830270236,2.7850665612631076,13.321521258119873,1.2705151590168384,1.8865507856094865,1.7987338968524114,206.67941001306644,2375.415401093761,4.133588200261329,47.50830802187522
45.32307558040702,26.70543977480728,17.545499759486134,4.73603384066854,2.762304691812119,13.321521258119873,1.2705151590168384,1.8865507856116182,1.798733896854543,206.67941001306644,2375.415401093761,4.133588200261329,47.50830802187522
45.28534456469483,26.792502377164148,17.50952508154902,4.721052851066929,2.7395428223611304,13.321521258120939,1.2705151590168384,1.8865507856094865,1.7987338968556088,206.67941001573098,2375.415401093761,4.13358820031462,47.50830802187522
45.2476135489826,26.879564979521035,17.473550403611952,4.706071861465318,2.716780952910227,13.321521258120939,1.2705151590168384,1.8865507856116182,1.7987338968534772,206.67941001573098,2375.415401093761,4.13358820031462,47.50830802187522
45.20988253327039,26.9666275818779,17.43757572567486,4.691090871863707,2.6940190834592386,13.321521258119873,1.2705151590168384,1.8865507856105523,1.798733896854543,206.67941001306644,2375.415401093761,4.133588200261329,47.50830802187522
45.172782554370485,27.052141297301432,17.404364186515522,4.686176855561229,2.6797959725826104,13.277934335191333,0.77474147606722,1.8549989449951454,1.6605769579669527,97.71210269171604,1135.981193719715,1.9542420538343208,22.7196238743943
45.13568257547058,27.137655012725006,17.37115264735614,4.68126283925892,2.665572861705982,13.277934335191333,0.7747414760629567,1.8549989449951454,1.6605769579690843,97.71210269171604,1135.981193709057,1.9542420538343208,22.71962387418114
45.09858259657068,27.223168728148536,17.3379411081968,4.676348822956612,2.6513497508294392,13.277934335191333,0.7747414760629567,1.8549989449951454,1.6605769579669527,97.71210269171604,1135.981193709057,1.9542420538343208,22.71962387418114
45.06148261767078,27.30868244357209,17.304729569037463,4.671434806654304,2.6371266399528963,13.277934335191333,0.7747414760629567,1.8549989449951454,1.6605769579669527,97.71210269171604,1135.981193709057,1.9542420538343208,22.71962387418114
45.024382638770874,27.39419615899564,17.27151802987808,4.66652079035191,2.6229035290763534,13.277934335191333,0.7747414760629567,1.8549989449951454,1.6605769579690843,97.71210269171604,1135.981193709057,1.9542420538343208,22.71962387418114
44.987790665237256,27.47876738282605,17.23943536641172,4.670081517031264,2.6161181197351766,13.264486925969976,0.3560181706603771,1.829598676680888,1.6041331733180897,64.09357963832463,89.17293020260786,1.2818715927664925,1.7834586040521572
