d_pre_goal,d_tail_goal,d_pre_raw,interval_pre,interval_tail,v_x,v_y,delta_v_goal,delta_v_raw,delta_a_x,delta_a_y,a_x,a_y
41.65603890277498,27.750543291183135,31.44105270967765,14.549907957772064,13.48534130672843,13.000499999999704,1.784585545570394,-4.177131642845211,-2.9010542177076104,0.0,0.0,0.0,0.0
41.739581535631885,27.777208032666678,31.4990737940318,14.515418251053688,13.452293260940081,13.000499999999704,1.784585545570394,-4.177131642845211,-2.9010542177076104,0.0,0.0,0.0,0.0
41.82312416848879,27.80387277415022,31.557094878385996,14.480928544335313,13.419245215151733,13.000499999999704,1.784585545570394,-4.177131642845211,-2.901054217709742,0.0,0.0,0.0,0.0
41.90666680134569,27.830537515633722,31.61511596274015,14.446440694915765,13.386199026662212,13.000499999999704,1.7844926806290573,-4.177131642845211,-2.9010542177076104,0.0,-0.2321623533418915,0.0,-0.00464324706683783
41.990209434202555,27.857202257117308,31.6731370470943,14.411949130898648,13.353149123575122,13.000500000001836,1.7846784105074676,-4.177131642843079,-2.9010542177076104,5.329070518200751e-09,0.23216234268375047,1.0658141036401503e-10,0.004643246853675009
42.07375206705946,27.88386699860085,31.731158131448453,14.377461281479015,13.320102935085515,13.000499999999704,1.7844926806333206,-4.177131642845211,-2.9010542177076104,0.0,-0.23216234268375047,0.0,-0.004643246853675009
42.1616436751342,27.9077759025036,31.790878575426504,14.3401747123863,13.283326000676652,12.982500000000385,1.934748153009025,-4.394580403737081,-2.9860221989025604,-44.9999999982964,375.40651859657714,-0.899999999965928,7.508130371931543
42.249535283208985,27.931684806406352,31.850599019404555,14.302891857891154,13.246552780865443,12.982499999998254,1.9345624231306147,-4.394580403739212,-2.9860221989025604,-45.00000000362547,374.9421939005515,-0.9000000000725095,7.49884387801103
42.33742689128373,27.955593710309103,31.91031946338265,14.265609003395923,13.209779561054148,12.982500000000385,1.9345624231306147,-4.394580403737081,-2.986022198904692,-44.9999999982964,374.9421939005515,-0.899999999965928,7.49884387801103
42.42516849935846,27.9796526142119,31.969889907360653,14.228322434303124,13.1730026266452,12.990000000000634,1.9347481530132882,-4.387080403736832,-2.9785221989001798,-26.249999997673967,375.4065186072353,-0.5249999999534793,7.508130372144706
42.513060107433205,28.00356151811465,32.029610351338704,14.191054438198336,13.136244265224349,12.982500000000385,1.9338195036127104,-4.394580403737081,-2.9860221989025604,-44.9999999982964,373.0848951057908,-0.899999999965928,7.461697902115816
42.59585787276893,28.033210341591413,32.08130234403765,14.15326197220574,13.098019070294868,13.447499999998769,1.9724513185138903,-4.139888266786329,-2.5845996349474376,1117.499999997662,469.66443235874067,22.34999999995324,9.393288647174813
42.67850563810461,28.063009165068266,32.132844336736554,14.115469506213145,13.059793875365301,13.45500000000115,1.9724513185181536,-4.132388266783948,-2.577099634945057,1136.2500000036134,469.6644323693988,22.72500000007227,9.393288647387976
42.761303403440294,28.092657988545028,32.184536329435545,14.077714186196403,13.021605826411673,13.447499999998769,1.9705940197212612,-4.139888266784197,-2.5845996349495692,1117.499999997662,465.02118537716797,22.34999999995324,9.30042370754336
42.84395116877597,28.12245681202188,32.236078322134446,14.039921720203807,12.983380631482191,13.45500000000115,1.9724513185138903,-4.132388266783948,-2.577099634945057,1136.2500000036134,469.66443235874067,22.72500000007227,9.393288647174813
42.9267489341117,28.152105635498643,32.287770314833395,14.002166400187065,12.945192582528563,13.447499999998769,1.9705940197212612,-4.139888266786329,-2.5845996349474376,1117.499999997662,465.02118537716797,22.34999999995324,9.30042370754336
43.0089867675287,28.181656798022928,32.336322847408965,13.96989855977256,12.91123883937999,13.665000000001726,1.7050002922772478,-4.111891670849843,-2.427626628778512,1661.2500000050545,-198.96313323286563,33.22500000010109,-3.9792626646573126
43.09122460094578,28.211207960547128,32.38487537998462,13.937667865333822,12.877322242207185,13.664999999999594,1.7031429934846187,-4.1118916708541065,-2.4276266287827752,1661.2499999997253,-203.60638021443833,33.22499999999451,-4.072127604288767
43.17346243436286,28.24075912307137,32.433427912560276,13.90543717089517,12.843405645034466,13.664999999999594,1.7031429934803555,-4.1118916708541065,-2.4276266287827752,1661.2499999997253,-203.60638022509647,33.22499999999451,-4.0721276045019295
43.2557002677799,28.27031028559557,32.48198044513589,13.873206476456517,12.80948904786166,13.664999999999594,1.7031429934846187,-4.111891670851975,-2.4276266287806436,1661.2499999997253,-203.60638021443833,33.22499999999451,-4.072127604288767
43.33793810119694,28.299861448119813,32.5305329777115,13.840975782017864,12.775572450689026,13.664999999999594,1.7031429934803555,-4.111891670851975,-2.4276266287806436,1661.2499999997253,-203.60638022509647,33.22499999999451,-4.0721276045019295
43.41318621525225,28.334562878023263,32.56962341465274,13.808821393310694,12.740227013056938,14.175000000001603,1.7031429934846187,-3.7624057027656477,-1.9545218470618408,2936.2500000047476,-203.60638021443833,58.72500000009495,-4.072127604288767
43.48858432930761,28.369114307926665,32.60886385159398,13.776704150579462,12.704918721400787,14.167499999999222,1.7012856946877264,-3.7699057027680283,-1.9620218470620898,2917.499999998796,-208.24962720666917,58.34999999997592,-4.1649925441333835
43.563982443362974,28.40366573783011,32.64810428853522,13.744549761872292,12.669573283768784,14.167499999999222,1.7031429934846187,-3.7699057027680283,-1.9620218470620898,2917.499999998796,-203.60638021443833,58.34999999997592,-4.072127604288767
43.63923055741833,28.438367167733517,32.6871947254765,13.71243251914106,12.634264992112634,14.174999999999471,1.7012856946877264,-3.7624057027677793,-1.9545218470639725,2936.2499999994184,-208.24962720666917,58.72499999998837,-4.1649925441333835
